?item	?itemLabel	?termLabel	?constituencyLabel	?partyLabel	?start	?electionLabel	?end	?causeLabel
Q19871785	Ruth Cadbury	56th United Kingdom Parliament	Brentford and Isleworth	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19871819	Lisa Cameron	56th United Kingdom Parliament	East Kilbride, Strathaven and Lesmahagow	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19871931	Catherine West	56th United Kingdom Parliament	Hornsey and Wood Green	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19872133	Jo Churchill	56th United Kingdom Parliament	Bury St Edmunds	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19872266	Julie Cooper	56th United Kingdom Parliament	Burnley	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19872361	Jo Cox	56th United Kingdom Parliament	Batley and Spen	Labour Party	2015-05-08	United Kingdom general election, 2015	2016-06-16	death in office
Q19872694	Michelle Donelan	56th United Kingdom Parliament	Chippenham	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19872756	Flick Drummond	56th United Kingdom Parliament	Portsmouth South	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19873325	Kevin Foster	56th United Kingdom Parliament	Torbay	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19873418	Marcus Fysh	56th United Kingdom Parliament	Yeovil	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874017	Helen Hayes	56th United Kingdom Parliament	Dulwich and West Norwood	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874021	Sue Hayman	56th United Kingdom Parliament	Workington	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874280	Kate Hollern	56th United Kingdom Parliament	Blackburn	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874398	Ben Howlett	56th United Kingdom Parliament	Bath	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874405	Philippa Whitford	56th United Kingdom Parliament	Central Ayrshire	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874642	Andrea Jenkyns	56th United Kingdom Parliament	Morley and Outwood	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19874839	Kirsten Oswald	56th United Kingdom Parliament	East Renfrewshire	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19875413	Chris Law	56th United Kingdom Parliament	Dundee West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19875589	Carol Monaghan	56th United Kingdom Parliament	Glasgow North West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19878984	Brendan O'Hara	56th United Kingdom Parliament	Argyll and Bute	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19880278	Tommy Sheppard	56th United Kingdom Parliament	Edinburgh East	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19881592	Calum Kerr	56th United Kingdom Parliament	Berwickshire, Roxburgh and Selkirk	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19881816	Marion Fellows	56th United Kingdom Parliament	Motherwell and Wishaw	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882263	Richard Arkless	56th United Kingdom Parliament	Dumfries and Galloway	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882420	Hannah Bardell	56th United Kingdom Parliament	Livingston	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882482	Stephen Gethins	56th United Kingdom Parliament	North East Fife	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882494	Steven Paterson	56th United Kingdom Parliament	Stirling	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882661	John McNally	56th United Kingdom Parliament	Falkirk	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882694	Neil Gray	56th United Kingdom Parliament	Airdrie and Shotts	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882721	Peter Grant	56th United Kingdom Parliament	Glenrothes	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882759	Roger Mullin	56th United Kingdom Parliament	Kirkcaldy and Cowdenbeath	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882771	Alison Thewliss	56th United Kingdom Parliament	Glasgow Central	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882792	Phil Boswell	56th United Kingdom Parliament	Coatbridge, Chryston and Bellshill	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882845	Naseem Shah	56th United Kingdom Parliament	Bradford West	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882875	Thangam Debbonaire	56th United Kingdom Parliament	Bristol West	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882922	Douglas Chapman	56th United Kingdom Parliament	Dunfermline and West Fife	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19882967	Joanna Cherry	56th United Kingdom Parliament	Edinburgh South West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883025	Ronnie Cowan	56th United Kingdom Parliament	Inverclyde	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883053	Angela Crawley	56th United Kingdom Parliament	Lanark and Hamilton East	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883087	Martyn Day	56th United Kingdom Parliament	Linlithgow and East Falkirk	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883117	Martin Docherty	56th United Kingdom Parliament	West Dunbartonshire	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883124	Stuart Donaldson	56th United Kingdom Parliament	West Aberdeenshire and Kincardine	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883129	Margaret Ferrier	56th United Kingdom Parliament	Rutherglen and Hamilton West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883132	Patricia Gibson	56th United Kingdom Parliament	North Ayrshire and Arran	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883135	Patrick Grady	56th United Kingdom Parliament	Glasgow North	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883145	Gavin Newlands	56th United Kingdom Parliament	Paisley and Renfrewshire North	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883152	Owen Thompson	56th United Kingdom Parliament	Midlothian	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883251	Stuart McDonald	56th United Kingdom Parliament	Cumbernauld, Kilsyth and Kirkintilloch East	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883283	Corri Wilson	56th United Kingdom Parliament	Ayr, Carrick and Cumnock	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19883288	Alan Brown	56th United Kingdom Parliament	Kilmarnock and Loudoun	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19917814	Wendy Morton	56th United Kingdom Parliament	Aldridge-Brownhills	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19930597	Cat Smith	56th United Kingdom Parliament	Lancaster and Fleetwood	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19938322	Edward Argar	56th United Kingdom Parliament	Charnwood	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19938362	Victoria Atkins	56th United Kingdom Parliament	Louth and Horncastle	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19946187	Jeremy Quin	56th United Kingdom Parliament	Horsham	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19956787	James Cartlidge	56th United Kingdom Parliament	South Suffolk	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19956815	Maria Caulfield	56th United Kingdom Parliament	Lewes	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19956858	Alex Chalk	56th United Kingdom Parliament	Cheltenham	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957124	Alberto Costa	56th United Kingdom Parliament	South Leicestershire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957144	Neil Coyle	56th United Kingdom Parliament	Bermondsey and Old Southwark	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957188	Judith Cummins	56th United Kingdom Parliament	Bradford South	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957299	Christopher Davies	56th United Kingdom Parliament	Brecon and Radnorshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957303	James Michael Davies	56th United Kingdom Parliament	Vale of Clwyd	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957306	Mims Davies	56th United Kingdom Parliament	Eastleigh	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957580	Steve Double	56th United Kingdom Parliament	St Austell and Newquay	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957586	Peter Dowd	56th United Kingdom Parliament	Bootle	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957590	Oliver Dowden	56th United Kingdom Parliament	Hertsmere	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957769	Suella Fernandes	56th United Kingdom Parliament	Fareham	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957790	Colleen Fletcher	56th United Kingdom Parliament	Coventry North East	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957802	Vicky Foxcroft	56th United Kingdom Parliament	Lewisham Deptford	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957811	Lucy Frazer	56th United Kingdom Parliament	South East Cambridgeshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957887	Nusrat Ghani	56th United Kingdom Parliament	Wealden	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957945	Chris Green	56th United Kingdom Parliament	Bolton West	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957949	Margaret Greenwood	56th United Kingdom Parliament	Wirral West	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957992	Louise Haigh	56th United Kingdom Parliament	Sheffield Heeley	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19957996	Luke Hall	56th United Kingdom Parliament	Thornbury and Yate	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19958023	Harry Harpham	56th United Kingdom Parliament	Sheffield Brightside and Hillsborough	Labour Party	2015-05-08	United Kingdom general election, 2015	2016-02-04	death in office
Q19958026	Carolyn Harris	56th United Kingdom Parliament	Swansea East	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19958052	James Heappey	56th United Kingdom Parliament	Wells	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19958093	Simon Hoare	56th United Kingdom Parliament	North Dorset	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19958100	Kevin Hollinrake	56th United Kingdom Parliament	Thirsk and Malton	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19958134	Imran Hussain	56th United Kingdom Parliament	Bradford East	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19979355	Rebecca Long-Bailey	56th United Kingdom Parliament	Salford and Eccles	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19979409	Jess Phillips	56th United Kingdom Parliament	Birmingham Yardley	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20011564	Stewart McDonald	56th United Kingdom Parliament	Glasgow South	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20022488	Kate Osamor	56th United Kingdom Parliament	Edmonton	Labour Co-operative	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20027903	Michelle Thomson	56th United Kingdom Parliament	Edinburgh West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2015-09-29	leaving party
Q20027903	Michelle Thomson	56th United Kingdom Parliament	Edinburgh West	independent politician	2015-09-29		2017-05-03	dissolution of parliament
Q20054075	Melanie Onn	56th United Kingdom Parliament	Great Grimsby	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20054083	Victoria Prentis	56th United Kingdom Parliament	Banbury	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20055561	Rishi Sunak	56th United Kingdom Parliament	Richmond (Yorks)	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20055581	Kelly Tolhurst	56th United Kingdom Parliament	Rochester and Strood	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20113749	Peter Kyle	56th United Kingdom Parliament	Hove	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20127903	Clive Lewis	56th United Kingdom Parliament	Norwich South	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20127909	Holly Walker-Lynch	56th United Kingdom Parliament	Halifax	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20127923	Rachael Maskell	56th United Kingdom Parliament	York Central	Labour Co-operative	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20127929	Johnny Mercer	56th United Kingdom Parliament	Plymouth Moor View	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20128115	Jo Stevens	56th United Kingdom Parliament	Cardiff Central	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20128211	Daniel Zeichner	56th United Kingdom Parliament	Cambridge	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20177497	Derek Thomas	56th United Kingdom Parliament	St Ives	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20195263	Huw Merriman	56th United Kingdom Parliament	Bexhill and Battle	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20195397	Seema Kennedy	56th United Kingdom Parliament	South Ribble	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20195470	Craig Tracey	56th United Kingdom Parliament	North Warwickshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20203414	Matthew Pennycook	56th United Kingdom Parliament	Greenwich and Woolwich	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647531	Gerald Jones	56th United Kingdom Parliament	Merthyr Tydfil and Rhymney	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647567	Julian Knight	56th United Kingdom Parliament	Solihull	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647672	David Mackintosh	56th United Kingdom Parliament	Northampton South	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647673	Justin Madders	56th United Kingdom Parliament	Ellesmere Port and Neston	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647692	Scott Mann	56th United Kingdom Parliament	North Cornwall	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647738	Chris Matheson	56th United Kingdom Parliament	City of Chester	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647740	Tania Mathias	56th United Kingdom Parliament	Twickenham	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647800	Paul Scully	56th United Kingdom Parliament	Sutton and Cheam	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647819	Maggie Throup	56th United Kingdom Parliament	Erewash	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647855	Rebecca Pow	56th United Kingdom Parliament	Taunton Deane	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647896	Michael Tomlinson	56th United Kingdom Parliament	Mid Dorset and North Poole	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647924	Paula Sherriff	56th United Kingdom Parliament	Dewsbury	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20647978	Craig Williams	56th United Kingdom Parliament	Cardiff North	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648244	Anne-Marie Trevelyan	56th United Kingdom Parliament	Berwick-upon-Tweed	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648325	Mike Wood	56th United Kingdom Parliament	Dudley South	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648332	Christina Rees	56th United Kingdom Parliament	Neath	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648365	Jeff Smith	56th United Kingdom Parliament	Manchester Withington	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648372	Royston Smith	56th United Kingdom Parliament	Southampton Itchen	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648385	Thomas Tugendhat	56th United Kingdom Parliament	Tonbridge and Malling	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648420	Anna Turley	56th United Kingdom Parliament	Redcar	Labour Co-operative	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648487	Amanda Solloway	56th United Kingdom Parliament	Derby North	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648527	Marie Rimmer	56th United Kingdom Parliament	St Helens South and Whiston	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648556	Matt Warman	56th United Kingdom Parliament	Boston and Skegness	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648564	Mary Robinson	56th United Kingdom Parliament	Cheadle	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648913	Nick Thomas-Symonds	56th United Kingdom Parliament	Torfaen	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20648982	Amanda Milling	56th United Kingdom Parliament	Cannock Chase	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20732037	William Wragg	56th United Kingdom Parliament	Hazel Grove	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q20747098	Helen Whately	56th United Kingdom Parliament	Faversham and Mid Kent	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q216594	Ed Miliband	56th United Kingdom Parliament	Doncaster North	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q232639	Margaret Beckett	56th United Kingdom Parliament	Derby South	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q234182	Harriet Harman	56th United Kingdom Parliament	Camberwell and Peckham	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q24034408	Gill Furniss	56th United Kingdom Parliament	Sheffield Brightside and Hillsborough	Labour Party	2016-05-06	Sheffield Brightside and Hillsborough by-election, 2016	2017-05-03	dissolution of parliament
Q24053857	Chris Elmore	56th United Kingdom Parliament	Ogmore	Labour Party	2016-05-06	Ogmore by-election, 2016	2017-05-03	dissolution of parliament
Q24668273	Rosena Allin-Khan	56th United Kingdom Parliament	Tooting	Labour Party	2016-06-17	Tooting by-election, 2016	2017-05-03	dissolution of parliament
Q251095	Caroline Flint	56th United Kingdom Parliament	Don Valley	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q258088	Debbie Abrahams	56th United Kingdom Parliament	Oldham East and Saddleworth	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
